segment,customers,avg_recency_days,avg_frequency,avg_monetary,total_revenue,avg_order_value,cancelled_orders,customer_share_pct,revenue_share_pct
Big Spenders,24,173.25,2.0,249137.5,5979300.0,124568.75,0.0,22.86,35.33
Champions,18,36.333333333333336,2.2777777777777777,229655.55555555556,4133800.0,104369.44444444444,0.0,17.14,24.43
Hibernating,34,494.61764705882354,0.8529411764705882,69600.0,2366400.0,38947.05882352941,42.0,32.38,13.98
Potential Loyalist,15,45.333333333333336,2.3333333333333335,144733.33333333334,2171000.0,65227.777777777774,0.0,14.29,12.83
Loyal Customers,12,52.333333333333336,2.0833333333333335,176941.66666666666,2123300.0,86095.83333333333,0.0,11.43,12.55
New / Recent Customers,2,-32.0,2.0,74000.0,148000.0,37000.0,2.0,1.9,0.87
